log_raised_by_quarter,tokenforsale_dummy,kyc_dummy,whitelist_dummy,presale_raised_dummy,ethereum,whitelist_dummy,ind_entertainment,ind_business_services,ind_blockchain,ind_other_software,ind_finance,presale_dummy,presale_raised_dummy,percent_forsale,percent_forsale_ifpresent,percent_forsale_dummy,listing_dummy
20.89957,1,1,1,0,1,1,0,0,0,0,0,1,0,0.85,0.85,1,0
20.89957,1,1,1,0,1,1,0,0,0,0,0,1,0,0.6,0.6,1,0
22.06915,1,1,1,0,1,1,0,0,0,0,0,0,0,0.8,0.8,1,0
19.63956,1,0,0,0,1,0,0,0,0,0,0,0,0,0.6,0.6,1,0
22.53391,1,1,1,1,1,1,0,0,0,0,1,1,1,0.8555555,0.8555555,1,0
22.27552,1,0,0,0,1,0,1,0,0,0,0,1,0,0.714,0.714,1,0
22.41159,1,0,0,0,1,0,0,1,0,0,0,0,0,0.6,0.6,1,0
20.89957,1,0,1,0,1,1,0,0,0,0,0,1,0,0.3,0.3,1,0
22.53391,1,0,1,0,1,1,0,0,0,0,0,0,0,0.5,0.5,1,0
20.89957,1,0,1,0,1,1,1,0,0,0,0,1,0,0.2623,0.2623,1,0
22.41159,1,1,0,0,1,0,0,0,0,0,0,1,0,0.6,0.6,1,0
20.89957,1,1,0,0,1,0,0,0,0,0,1,1,0,,0,0,0
22.06915,1,0,1,0,1,1,0,0,0,0,0,0,0,,0,0,0
22.06915,1,1,0,0,1,0,0,0,0,0,0,1,0,0.45,0.45,1,0
18.90116,1,1,1,0,0,1,0,0,0,0,0,1,0,0.26,0.26,1,0
19.63956,1,1,1,0,1,1,0,0,0,0,1,1,0,0.5,0.5,1,0
22.27552,1,0,0,0,1,0,0,0,0,0,0,0,0,0.96,0.96,1,0
22.06915,1,1,0,0,1,0,0,0,0,0,1,1,0,0.8,0.8,1,0
22.06915,1,1,1,0,1,1,0,0,0,0,0,1,0,0.7,0.7,1,0
22.41159,1,0,0,0,1,0,0,0,0,0,0,1,0,0.28,0.28,1,0
